category,title,organization,source_url,download_url,file_name,file_type,publication_date,version,notes
regulations,食品標示法規手冊,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/siteList.aspx?sid=214,https://www.fda.gov.tw/tc/includes/GetFile.ashx?cid=42303&id=f639057140744869584&type=2,documents/regulations/食品標示法規手冊_現行版.pdf,PDF,未在來源頁明確標示,現行版,TFDA 原始下載檔；標示法規主文件
regulations,食品標示問答集彙整手冊,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/siteList.aspx?sid=214,https://www.fda.gov.tw/tc/includes/GetFile.ashx?cid=42306&id=f639057138540044743&type=2,documents/regulations/食品標示問答集彙整手冊_現行版.pdf,PDF,未在來源頁明確標示,現行版,TFDA 原始下載檔
regulations,包裝食品營養宣稱應遵行事項,衛生福利部食品藥物管理署,https://www.fda.gov.tw/tc/newsContent.aspx?cid=3&id=30378,https://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f638466352067586963,documents/regulations/包裝食品營養宣稱應遵行事項_2024修正版.pdf,PDF,2024-02-19,2024修正版,來源頁另載部分規定自 2026-01-01 生效，使用時需再核對
regulations,食品過敏原標示規定,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/newsContent.aspx?cid=3&id=24294,https://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f636916313825842685,documents/regulations/食品過敏原標示規定_現行版.pdf,PDF,2018-08-21,現行公告版,來源頁維護日期 2019-11-07；需確認後續修正
regulations,包裝食品營養宣稱應遵行事項 Q&A,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/siteList.aspx?sid=214,https://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f638629434885343306,documents/regulations/包裝食品營養宣稱應遵行事項_QA_2024-09-26.pdf,PDF,2024-09-26,2024-09-26 版,TFDA 原始下載檔
regulations,食品過敏原標示規定 Q&A,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/siteList.aspx?sid=214,https://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f636916314364767147,documents/regulations/食品過敏原標示規定_QA_2018-09-21.pdf,PDF,2018-09-21,2018-09-21 版,TFDA 原始下載檔
regulations,食品標示法規指引手冊,衛生福利部食品藥物管理署,https://www.fda.gov.tw/TC/siteList.aspx?sid=214,https://www.fda.gov.tw/tc/includes/GetFile.ashx?cid=42305&id=f639057139719594572&type=2,documents/regulations/食品標示法規指引手冊_2025-12.pdf,PDF,2025-12,2025-12 版,檔名所示版本；正式使用前仍應核對 TFDA 公告頁
nutrition,國人膳食營養素參考攝取量（第八版，全）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=a67b0afc22034e1c91793ebe57e370f1,documents/nutrition/DRIs第八版_全.pdf,PDF,2020-04-08,第八版,來源頁更新日期 2025-11-21；HPA 原始附件
nutrition,國人膳食營養素參考攝取量（第八版 Q&A）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=90450ba80e084ff7ac178662a920891d,documents/nutrition/DRIs第八版_QA.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量第八版附件,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=39051473d7c94d6ea1e34d55eba7fdd3,documents/nutrition/DRIs第八版_總表.pdf,PDF,2020-04-08,第八版,另已下載背景、名詞、碳水化合物、鈣、碘、維生素D、蛋白質、脂質、鈉、鉀、鐵、鎂附件
nutrition,每日飲食指南手冊,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/EBook.aspx?nodeid=1208,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=2bdfa986bf79482bb3d5f4c8315fc968,documents/nutrition/每日飲食指南手冊_107年10月.pdf,PDF,2018-03-13,107年10月新版,來源頁更新日期 2018-10-26
nutrition,國人膳食營養素參考攝取量第八版來源頁,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,documents/nutrition/來源頁_DRIs第八版_HPA.html,HTML,2020-04-08,第八版,原始官方 HTML 快照；頁面更新日期 2025-11-21
nutrition,每日飲食指南來源頁,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/EBook.aspx?nodeid=1208,https://www.hpa.gov.tw/Pages/EBook.aspx?nodeid=1208,documents/nutrition/來源頁_每日飲食指南_HPA.html,HTML,2018-03-13,107年10月新版,原始官方 HTML 快照
food_database,臺灣食品成分資料庫官方開放資料（CSV）,衛生福利部食品藥物管理署,https://www.fda.gov.tw/tc/siteList.aspx?sid=284,https://data.fda.gov.tw/opendata/exportDataList.do?InfoId=20&logType=2&method=ExportData,,CSV（官方資源回傳 ZIP）,未在資料集頁明確標示,官方開放資料,官方資源實際回傳 application/zip；依本次安全規則未下載 ZIP
food_database,臺灣食品成分資料庫官方開放資料（JSON）,衛生福利部食品藥物管理署,https://www.fda.gov.tw/tc/siteList.aspx?sid=284,https://data.fda.gov.tw/opendata/exportDataList.do?InfoId=20&logType=3&method=ExportData,,JSON（官方資源回傳 ZIP）,未在資料集頁明確標示,官方開放資料,官方資源實際回傳 application/zip；後續適合 structured lookup
food_database,臺灣食品成分資料庫 2019 版 UPDATE1,衛生福利部食品藥物管理署,https://www.fda.gov.tw/tc/siteList.aspx?sid=284,https://consumer.fda.gov.tw/Files/other/%E5%8F%B0%E7%81%A3%E9%A3%9F%E5%93%81%E6%88%90%E5%88%86%E8%B3%87%E6%96%99%E5%BA%AB2019%E7%89%88(UPDATE1)1090401.xlsx,,XLSX（官方連結失效）,2020-04-01,2019版 UPDATE1,下載回傳非 XLSX 錯誤頁，未保存
disease_guides/diabetes,糖尿病與我,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1205,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=2&sid=775843c7883b4cc7979ec79c1d2f2a92,documents/disease_guides/diabetes/糖尿病與我_2022年再版.pdf,PDF,2022-09-29,2022年再版,來源頁更新日期 2026-01-16；HPA 原始附件
disease_guides/diabetes,糖尿病與我官方來源頁,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1205,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1205,documents/disease_guides/diabetes/來源頁_糖尿病與我_HPA.html,HTML,2022-09-29,2022年再版,原始官方 HTML 快照
disease_guides/hypertension,高血壓防治學習手冊,衛生福利部國民健康署,https://health99.hpa.gov.tw/media/public/pdf/40165.pdf,https://health99.hpa.gov.tw/media/public/pdf/40165.pdf,,PDF（待手動下載）,2013-09,初版,Health99 目前回傳網站維護／找不到頁面，未保存錯誤頁；官方 PDF 需手動下載
disease_guides/hypertension,高血壓生活保健來源頁,衛生福利部國民健康署,https://www.hpa.gov.tw/127/14499/n,https://www.hpa.gov.tw/127/14499/n,documents/disease_guides/hypertension/來源頁_高血壓生活保健_HPA.html,HTML,2021-09-28,官方網頁,保存官方 HTML；內容引用高血壓防治學習手冊
disease_guides/kidney_disease,慢性腎臟病健康管理手冊,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1157,https://health99.hpa.gov.tw/media/public/pdf/21687.pdf,,PDF（待手動下載）,2018-01,第二版,Health99 目前回傳網站維護／找不到頁面，未保存錯誤頁；官方 PDF 需手動下載
disease_guides/kidney_disease,早期慢性腎臟病照護手冊,衛生福利部國民健康署、台灣腎臟醫學會,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=4705&pid=16724,https://health99.hpa.gov.tw/storage/pdf/materials/22259.pdf,,PDF（待手動下載）,2022,官方合作手冊,Health99 目前回傳網站維護／找不到頁面，未保存錯誤頁；官方 PDF 需手動下載
disease_guides/kidney_disease,慢性腎臟病健康管理手冊來源頁,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1157,https://www.hpa.gov.tw/Pages/List.aspx?nodeid=1157,documents/disease_guides/kidney_disease/來源頁_慢性腎臟病健康管理手冊_HPA.html,HTML,2017-01-13,官方網頁,來源頁更新日期至 2019-09-24；原始官方 HTML 快照
disease_guides/dyslipidemia,高血脂防治手冊／國人血脂異常診療及預防指引,衛生福利部國民健康署,https://health99.hpa.gov.tw/media/public/pdf/21447.pdf,https://health99.hpa.gov.tw/media/public/pdf/21447.pdf,,PDF（待手動下載）,未在 PDF 下載頁明確標示,舊版官方手冊,Health99 目前回傳網站維護／找不到頁面；內容含血脂異常飲食處理，版本偏舊
disease_guides/dyslipidemia,2022 年台灣初級預防血脂指引官方頁面,衛生福利部國民健康署,https://www.hpa.gov.tw/EngPages/Detail.aspx?nodeid=644&pid=16969,https://www.hpa.gov.tw/EngPages/Detail.aspx?nodeid=644&pid=16969,documents/disease_guides/dyslipidemia/來源頁_2022台灣初級預防血脂指引_HPA.html,HTML,2023-05-05,2022 指引,官方頁面下載導向醫學會網域；本次不下載外部檔案
disease_guides/dyslipidemia,高血脂及其他二高飲食資訊,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=807&pid=20034,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=807&pid=20034,documents/disease_guides/dyslipidemia/來源頁_高血脂飲食資訊_HPA.html,HTML,2026-04-27,現行官方網頁,保存官方 HTML；可作目前飲食衛教來源，但不是臨床治療指引

nutrition,國人膳食營養素參考攝取量（第八版背景說明及名詞對照）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=38e8ed05967b4d8a8f375aa38f4c2e8f,documents/nutrition/DRIs第八版_背景說明及名詞對照.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版名詞說明）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=b7877d0e97d6426c8bc5f7595951ad29,documents/nutrition/DRIs第八版_名詞說明.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版碳水化合物）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=526069d9c7234954a25cd27033da35ec,documents/nutrition/DRIs第八版_碳水化合物.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版鈣）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=2562d48a40b44ce493730e5a201732e3,documents/nutrition/DRIs第八版_鈣.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版碘）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=8dc9aada62c04f6ca2f56a05e7458815,documents/nutrition/DRIs第八版_碘.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版維生素 D）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=a78f3f62575a4b22ae27d54cd3580ad8,documents/nutrition/DRIs第八版_維生素D.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版蛋白質）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=a69411ddb08748cfbf0cbb9930a57f57,documents/nutrition/DRIs第八版_蛋白質.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版脂質）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=099d82730d464694984cd71a22ba8524,documents/nutrition/DRIs第八版_脂質.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版鈉）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=4897b35f96f64520af8e2686a2b754d6,documents/nutrition/DRIs第八版_鈉.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版鉀）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=13cc282cd92441468eb4e4876c232233,documents/nutrition/DRIs第八版_鉀.pdf,PDF,2020-04-08,第八版,官方附件
nutrition,國人膳食營養素參考攝取量（第八版鐵）,衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?feature=featurea13&kv=default&nodeid=4248&pid=12285,https://www.hpa.gov.tw/Pages/ashx/GetFile.ashx?lang=c&type=1&sid=6587959741534e47863767ea59d538b1,documents/nutrition/DRIs第八版_鐵.pdf,PDF,2020-04-08,第八版,官方附件
